04FA,2490,,,,,,ds2490
1286,2041,,,,,,mwifiex_usb
05A3,8388,,,,,,usb8xxx
05A3,8388,,,,,,libertas_tf_usb
050D,6051,,,,,,zd1201
0053,5301,,,,,,zd1211rw
043E,3101,,,,,,brcmfmac
0CF3,9374,,,,,,ath6kl_usb
13B1,0042,,,,,,ath10k_usb
040D,3801,,,,,,ath9k_htc
07D1,3A07,,,,,,ar5523
0409,0249,,,,,,carl9170
0411,00D8,,,,,,rt73usb
0411,005E,,,,,,rt2500usb
0411,00E8,,,,,,rt2800usb
045E,02E6,,,,,,mt76x2u
04BB,0951,,,,,,mt76x0u
0B05,17D3,,,,,,mt7601u
0411,004B,,,,,,rndis_wlan
1618,9113,,,,,,rsi_usb
04F2,AFF7,,,,,,rtl8192cu
04BB,094C,,,,,,rtl8xxxu
03F0,CA02,,,,,,rtl8187
0411,0050,,,,,,p54usb
0411,0006,,,,,,orinoco_usb
03EB,4102,,,,,,at76c50x-usb
0483,1234,,,,,,usb_8dev
2294,425A,,,,,,ucan
12D6,0444,,,,,,ems_usb
1209,2323,,,,,,gs_usb
0BFD,0002,,,,,,kvaser_usb
0C72,000C,,,,,,peak_usb
0AB4,0010,,,,,,esd_usb2
04D8,0A30,,,,,,mcba_usb
03F0,A31D,,,,,,cdc_mbim
04E8,6889,,,,,,kalmia
0,0,,,,,,cdc_eem
0411,003D,,,,,,asix
1A86,E092,,,,,,ch9200
050D,258A,,,,,,plusb
03F0,421D,,,,,,cdc_ether
0411,0012,,,,,,rtl8150
0F3D,68A3,,,,,,sierra_net
046D,C11F,,,,,,zaurus
0421,0,,,,,,cdc-phonet
12D1,0,,,,,,huawei_cdc_ncm
0DF6,0021,,,,,,mcs7830
0402,5632,,,,,,cdc_subset
05AC,0,,,,,,ipheth
1004,61AA,,,,,,lg-vl600
0572,CB01,,,,,,cx82310_eth
0424,7500,,,,,,smsc75xx
0AF0,6711,,,,,,hso
03F0,811C,,,,,,pegasus
0424,7800,,,,,,lan78xx
0424,9500,,,,,,smsc95xx
0FE6,9800,,,,,,sr9800
045E,07AB,,,,,,r8152
04B4,3610,,,,,,ax88179_178a
0586,3427,,,,,,dm9601
09E1,5121,,,,,,int51x1
0525,1080,,,,,,net1080
03E8,0008,,,,,,kaweth
0B95,2790,,,,,,aqc111
05E3,0502,,,,,,gl620a
1630,0042,,,,,,rndis_host
0FE6,9700,,,,,,sr9700
03F0,1F1D,,,,,,qmi_wwan
0423,000A,,,,,,catc
0930,0,,,,,,cdc_ncm
20B7,1540,,,,,,atusb
046D,0A0E,,,,,,radio-keene
06E1,A155,,,,,,radio-si470x-usb
077D,627A,,,,,,shark2
077D,627A,,,,,,radio-shark
10C4,8244,,,,,,radio-usb-si4713
07CA,B800,,,,,,radio-mr800
04B4,1002,,,,,,dsbr100
10C4,818A,,,,,,radio-raremono
16C0,05DF,,,,,,radio-ma901
0E9C,0000,,,,,,streamzap
04E8,FF30,,,,,,imon_raw
1781,0938,,,,,,iguanair
112A,0001,,,,,,redrat3
040B,6521,,,,,,xbox_remote
15C2,0034,,,,,,imon
0BC7,0002,,,,,,ati_remote
03EE,2501,,,,,,mceusb
03EB,0002,,,,,,igorplugusb
0B48,2003,,,,,,ttusbir
04B4,2101,,,,,,dvb-usb-dw2102
07CA,A800,,,,,,dvb-usb-a800
0413,60F6,,,,,,dvb-usb-dib0700
0547,0201,,,,,,dvb-usb-digitv
0B48,3006,,,,,,dvb-usb-ttusb2
06BE,A232,,,,,,dvb-usb-dtv5100
09C0,0200,,,,,,dvb-usb-gp8psk
0DB0,5580,,,,,,dvb-usb-m920x
2040,9300,,,,,,dvb-usb-nova-t-usb2
0458,701E,,,,,,dvb-usb-dibusb-mb
14AA,0201,,,,,,dvb-usb-dtt200u
13D3,3207,,,,,,dvb-usb-vp702x
13D3,3205,,,,,,dvb-usb-vp7045
0413,6025,,,,,,dvb-usb-dibusb-mc
0CCD,0055,,,,,,dvb-usb-af9005
04B4,2830,,,,,,dvb-usb-opera
0CCD,10A4,,,,,,dvb-usb-az6027
0572,86D6,,,,,,dvb-usb-cxusb
0B48,3007,,,,,,dvb-usb-pctv452e
0CCD,0038,,,,,,dvb-usb-cinergyT2
15F4,0001,,,,,,dvb-usb-umt-010
14F7,0500,,,,,,dvb-usb-technisat-usb2
05E1,0408,,,,,,stk1160
041E,400B,,,,,,gspca_sunplus
041E,401D,,,,,,gspca_spca505
093A,2600,,,,,,gspca_pac7311
093A,050F,,,,,,gspca_mars
046D,D001,,,,,,gspca_nw80x
041E,4003,,,,,,gspca_ov519
03F0,1B07,,,,,,gspca_zc3xx
17A1,0128,,,,,,gspca_t613
0979,0270,,,,,,gspca_jeilinj
08CA,0110,,,,,,gspca_mr97310a
04FC,1528,,,,,,gspca_spca1528
0458,7025,,,,,,gspca_sonixj
0458,7029,,,,,,gspca_sn9c20x
0402,5602,,,,,,gspca_m5602
04C8,0720,,,,,,gspca_konica
040A,0002,,,,,,gspca_spca501
05A9,1550,,,,,,gspca_ov534_9
0979,0227,,,,,,gspca_jl2005bcd
046D,0840,,,,,,gspca_stv06xx
040A,0300,,,,,,gspca_spca500
06F8,3002,,,,,,gspca_ov534
174F,6A31,,,,,,gspca_stk1135
041E,4028,,,,,,gspca_pac207
0130,0130,,,,,,gspca_spca508
041E,4007,,,,,,gspca_stv0680
0545,8002,,,,,,gspca_xirlink_cit
06E1,A190,,,,,,gspca_spca506
06F8,3009,,,,,,gspca_pac7302
0547,7303,,,,,,gspca_dtcs033
2770,9050,,,,,,gspca_sq905c
046D,0920,,,,,,gspca_tv8532
0547,6801,,,,,,gspca_touptek
041E,4038,,,,,,gspca_sq930x
05E3,0503,,,,,,gspca_gl860
03E8,0004,,,,,,gspca_se401
0C45,6001,,,,,,gspca_sonixb
06A2,0003,,,,,,gspca_topro
102C,6151,,,,,,gspca_etoms
04A5,3035,,,,,,gspca_benq
041E,401A,,,,,,gspca_spca561
0572,0041,,,,,,gspca_conex
